AGENTE,FECHA,FECHA_IDX,gen_mes,comp_bols_mes,comp_cont_mes,comp_recon_mes,demanda_real_mes,comp_cont_reg_mes,vent_cont_SICEP_mes,vent_cont_no_reg_mes,vent_cont_ener_mes,precio_bolsa_mes,precio_prom_cont_reg_mes,precio_prom_cont_no_reg_mes,pandemia,ONI,PANDEMIA,Demanda_UPME,EXP_BOLSA
NTCG,2010-02-01,2.0,0.45231155019236574,-0.8989714707431156,-0.9189262066728836,0.9948128817804446,-0.6350260701288646,0.0,-0.6340559037889156,-0.9189262066728836,-0.9102816335746765,-0.04144190720466843,-0.46829482580573495,-0.49000881713806677,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
RTQC,2010-02-01,2.0,0.0,-0.061253038382030355,-0.41252684437897635,0.0,-0.21490015678545807,-0.026990568915561963,-0.6198743594967449,-0.731019371392246,-2.530676532490424,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.09658458281785748
SOCG,2010-02-01,2.0,0.5269724461046283,-0.7755731971800615,0.0,-1.5677627645862138,-0.717142927065723,0.0,0.0,0.0,-0.8093504727946952,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
SOEC,2010-02-01,2.0,0.0,-0.21425037814948786,-0.9130407102272841,0.0,-0.9130328513205714,0.0,0.0,-0.9130407102272841,-0.7123712900173333,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
SPRG,2010-02-01,2.0,0.678112847426203,-0.6602205072477128,-0.8317836451795767,0.0,-0.49836264590042495,0.0,-0.6710634335404805,-0.8317836451795767,-0.8639531294106161,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
TBSG,2010-02-01,2.0,0.3787079047812344,-1.0917501477854372,0.0,0.9450388396457424,-1.1214326277814621,0.0,0.0,0.0,-0.21410188176500858,-0.02970089965187279,-0.4680420847082643,-0.488350385340958,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
TCIG,2010-02-01,2.0,-0.3806115836453436,-1.1654620135292917,0.0,-0.3571955488652532,-1.1769805106205413,0.0,0.0,0.0,0.0,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.0
TRMG,2010-02-01,2.0,0.4902276685442047,0.3294583096094368,-0.3703239056099201,-0.06263931177778567,0.18117138911241418,0.0,-0.6051296734837065,-0.3703239056099201,0.10908032789369927,-0.057390601112007555,-0.46876087173006953,-0.49178702133510144,0.0,1.4729474871298363,0.0,-2.0578827856773154,0.11899326749282457
BTGC,2010-03-01,3.0,0.0,-0.43869911245642923,-0.44571897849145703,0.0,0.0,0.0,-0.21193623249629875,-0.44571897849145703,-0.4674232089292092,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.0
CHVG,2010-03-01,3.0,0.2095671637165061,0.35117316406203053,-0.9483457685467527,0.14633674581342818,0.44985832153642574,0.0,-0.507139324428937,-0.9483457685467527,0.08753648434505361,-0.08189077439976009,-0.45945193787136474,-0.48788287002031633,0.0,1.0010491166948357,0.0,-1.2697210078037695,0.26878301474257493
